id,name,blurb, goal ,pledged,outcomes,country,currency,deadline,launched_at,staff_pick,backers_count,spotlight,Category and Subcategory,Percentage Funded,Average Donation,Parent Category,Subcategory,Date Created Conversion,Date Ended Conversion,Years
2596,The Chef Express Food Truck,"I'm bringing passion, talent, and most importantly some amazing gourmet food to the streets of Lethbridge and southern Alberta.","$35,000.00 ","$8,256.00 ",failed,CA,CAD,1407427009,1404835009,FALSE,27,FALSE,food/food trucks,24,305.78,food,food trucks,7/8/2014,8/7/2014,2014
2597,Cafe Nomad back on the road! Coffee van's poorly.,We have a great little coffee business but the van is currently limping! We don't have the capital to replace it. Please help us!,"$1,500.00 ",$85.00 ,failed,GB,GBP,1466323917,1463731917,FALSE,7,FALSE,food/food trucks,6,12.14,food,food trucks,5/20/2016,6/19/2016,2016
2598,Rovin' Okie's Fried Pies gourmet southern fried pies.,I'm ready to make Tulsa happy and aware that love and kindness go hand in hand with good food!,"$3,000.00 ","$1,170.00 ",failed,US,USD,1443039001,1440447001,FALSE,14,FALSE,food/food trucks,39,83.57,food,food trucks,8/24/2015,9/23/2015,2015
2599,Empty Ramekins Catering Group,The Empty Ramekins Catering Group is looking for your help to start up in Miami Florida!!!!,"$9,041.00 ",$90.00 ,failed,US,USD,1407089147,1403201147,FALSE,5,FALSE,food/food trucks,1,18,food,food trucks,6/19/2014,8/3/2014,2014
2600,Help Buttz Return From the Ashes,"On Sunday November 8, 2015 our food truck burned to the ground. Please help us get rebuilt.","$50,000.00 ","$3,466.00 ",failed,US,USD,1458938200,1453757800,FALSE,30,FALSE,food/food trucks,7,115.53,food,food trucks,1/25/2016,3/25/2016,2016
2601,Launch a TARDIS into SPACE!,I'll be launching a small model TARDIS into (near) SPACE and filming the ascension and descension as a mini-documentary for YouTube.,$500.00 ,"$3,307.00 ",successful,US,USD,1347508740,1346276349,TRUE,151,TRUE,technology/space exploration,661,21.9,technology,space exploration,8/29/2012,9/13/2012,2012
2602,Historic Robotic Spacecraft Poster Series,Three screen-printed posters celebrating the most popular and most notable interplanetary robotic space missions.,"$12,000.00 ","$39,131.00 ",successful,US,USD,1415827200,1412358968,TRUE,489,TRUE,technology/space exploration,326,80.02,technology,space exploration,10/3/2014,11/12/2014,2014
2603,Manned Mock Mars Mission,I will be building a mock space station and simulate living on Mars for two weeks.,"$1,750.00 ","$1,776.00 ",successful,US,USD,1387835654,1386626054,TRUE,50,TRUE,technology/space exploration,101,35.52,technology,space exploration,12/9/2013,12/23/2013,2013
2604,Hermes Spacecraft,We're building a full size rocket motor for our Hermes Spacecraft.  Help us Kickstart the next generation of space travel!,"$20,000.00 ","$20,843.60 ",successful,US,USD,1335662023,1333070023,TRUE,321,TRUE,technology/space exploration,104,64.93,technology,space exploration,3/30/2012,4/29/2012,2012
2605,The most mysterious star in the Galaxy,"Help astronomers get the data they need to unravel one of the biggest mysteries of all time, KIC 8462852 --- Where’s the Flux?","$100,000.00 ","$107,421.57 ",successful,US,USD,1466168390,1463576390,TRUE,1762,TRUE,technology/space exploration,107,60.97,technology,space exploration,5/18/2016,6/17/2016,2016
2606,2000 Student Projects to the Edge of Space,"PongSat 2 !!!!!

On September 27, 2014 we are going to send 2000 student projects to the edge of space.","$11,000.00 ","$12,106.00 ",successful,US,USD,1398791182,1396026382,TRUE,385,TRUE,technology/space exploration,110,31.44,technology,space exploration,3/28/2014,4/29/2014,2014
2607,Historic Robotic Spacecraft Poster Series Two,Chop Shop’s second series of posters celebrating the most popular and most notable robotic space exploration missions.,"$8,000.00 ","$32,616.00 ",successful,US,USD,1439344800,1435611572,TRUE,398,TRUE,technology/space exploration,408,81.95,technology,space exploration,6/29/2015,8/12/2015,2015
2608,Giant Leaps in Space Poster Series,Giant Leaps featuring the historic missions of human spaceflight is the third in our series of space exploration prints,"$8,000.00 ","$17,914.00 ",successful,US,USD,1489536000,1485976468,TRUE,304,TRUE,technology/space exploration,224,58.93,technology,space exploration,2/1/2017,3/15/2017,2017
2609,ArduSat - Your Arduino Experiment in Space,We love Arduino and we love space exploration. So we decided to combine them and let people run their own space experiments!,"$35,000.00 ","$106,330.39 ",successful,US,USD,1342330951,1339738951,TRUE,676,TRUE,technology/space exploration,304,157.29,technology,space exploration,6/15/2012,7/15/2012,2012
2610,Restore the Pluto Discovery Telescope,Preserve the telescope that Clyde Tombaugh used to discover Pluto for generations to come!,"$22,765.00 ","$32,172.66 ",successful,US,USD,1471849140,1468444125,TRUE,577,TRUE,technology/space exploration,141,55.76,technology,space exploration,7/13/2016,8/22/2016,2016
2611,The Universe in a Sphere (Relaunch),"Laniakea is the name of the supercluster of galaxies we are part of.This tremendous structure of 380,000 Galaxies can now be yours! 39€","$11,000.00 ","$306,970.00 ",successful,DE,EUR,1483397940,1480493014,TRUE,3663,TRUE,technology/space exploration,2791,83.8,technology,space exploration,11/30/2016,1/2/2017,2016
2612,Starscraper: The Next Generation of Suborbital Rockets,What if we built a rocket that is better than a NASA or commercially available rocket? What if we did it with students?,"$10,000.00 ","$17,176.13 ",successful,US,USD,1420773970,1418095570,TRUE,294,TRUE,technology/space exploration,172,58.42,technology,space exploration,12/9/2014,1/9/2015,2014
2613,Earth 360,Re-inventing the way we look at our planet by sending 5 cameras to near space to create the first 360 panoramic view of the earth.,"$7,500.00 ","$7,576.00 ",successful,US,USD,1348256294,1345664294,TRUE,28,TRUE,technology/space exploration,101,270.57,technology,space exploration,8/22/2012,9/21/2012,2012
2614,"Kansas City SSEP Mission 5 Rocket . . .3,2,1 . . Blast Off!","Middle-schoolers designed a microgravity experiment that's going to the ISS! Help us send them to the launch in Wallops Island, VA.","$10,500.00 ","$10,710.00 ",successful,US,USD,1398834000,1396371612,TRUE,100,TRUE,technology/space exploration,102,107.1,technology,space exploration,4/1/2014,4/30/2014,2014
2615,Action Man (GI Joe) Mission Mercury 10,Mission to launch a vintage Action Man and Space Capsule into space and film from his birthplace in UK to mark his 50th Anniversary.,"$2,001.00 ","$3,397.00 ",successful,GB,GBP,1462017600,1458820564,FALSE,72,TRUE,technology/space exploration,170,47.18,technology,space exploration,3/24/2016,4/30/2016,2016
2616,James Webb Deployable Model,Production of variously-sized deployable models of NASA's James Webb Space Telescope to promote hands-on learning.,"$25,000.00 ","$28,633.50 ",successful,US,USD,1440546729,1437954729,TRUE,238,TRUE,technology/space exploration,115,120.31,technology,space exploration,7/26/2015,8/25/2015,2015
2617,Equatorial Sundial - Learn about planetary motion!,"A simple way to learn and teach complex astronomical concepts. Awesome educational experiment, class demo or desktop display.",$500.00 ,"$4,388.00 ",successful,US,USD,1413838751,1411246751,TRUE,159,TRUE,technology/space exploration,878,27.6,technology,space exploration,9/20/2014,10/20/2014,2014
2618,SPACE ART FEATURING ASTRONAUTS #WeBelieveInAstronauts,LTD ED COLLECTIBLE SPACE ART FEAT. ASTRONAUTS,"$15,000.00 ","$15,808.00 ",successful,US,USD,1449000061,1443812461,TRUE,77,TRUE,technology/space exploration,105,205.3,technology,space exploration,10/2/2015,12/1/2015,2015
2619,Mars on Earth: An Art Residency,"Help a fine art photographer continue her project about space exploration, Mars, and the scientists who are going to make it possible!","$1,000.00 ","$1,884.00 ",successful,US,USD,1445598000,1443302004,TRUE,53,TRUE,technology/space exploration,188,35.55,technology,space exploration,9/26/2015,10/23/2015,2015
2620,#TeamMopra - Save the Mopra Telescope & Map the Milky Way,Come and join us on a voyage of interstellar exploration as we chart the least known part of the Milky Way – its Delta Quadrant.,"$65,000.00 ","$93,374.00 ",successful,AU,AUD,1444525200,1441339242,TRUE,1251,TRUE,technology/space exploration,144,74.64,technology,space exploration,9/4/2015,10/11/2015,2015
2621,Vulcan I: Rocket Powered by 3D Printed Engine,Team of undergraduates racing to be the first student organization to successfully launch a rocket powered by a 3D-printed engine.,"$15,000.00 ","$21,882.00 ",successful,US,USD,1432230988,1429638988,TRUE,465,TRUE,technology/space exploration,146,47.06,technology,space exploration,4/21/2015,5/21/2015,2015
2622,U-PHOS: Upgraded Pulsating Heatpipe Only for Space,"University team from Pisa in collaboration with ESA, creating an innovative heat transfer device that will be tested into space.","$1,500.00 ","$1,967.76 ",successful,IT,EUR,1483120216,1479232216,FALSE,74,TRUE,technology/space exploration,131,26.59,technology,space exploration,11/15/2016,12/30/2016,2016
2623,Antimatter Fuel Production,We have designed an antimatter thruster capable of reaching the nearest star.  A plan for antimatter fuel production is now needed.,"$2,000.00 ","$2,280.00 ",successful,US,USD,1480658966,1479449366,FALSE,62,TRUE,technology/space exploration,114,36.77,technology,space exploration,11/18/2016,12/2/2016,2016
2624,Space Elevator Science - Climb to the Sky - A Tethered Tower,It’s Space Elevator research! Smart robots climbing 2 km straight up. The Ribbon is held aloft by large helium balloons.,"$8,000.00 ","$110,353.65 ",successful,US,USD,1347530822,1345716422,FALSE,3468,TRUE,technology/space exploration,1379,31.82,technology,space exploration,8/23/2012,9/13/2012,2012
2625,Caelum - Photos from stratosphere,We are two upper sixth-form students specialized in physics who wanna take some majestic pictures from stratosphere - about 35km high,$150.00 ,"$1,434.00 ",successful,DE,EUR,1478723208,1476559608,FALSE,52,TRUE,technology/space exploration,956,27.58,technology,space exploration,10/15/2016,11/9/2016,2016
2626,SAGANet STEM Mentoring Lab Accreditation,Support the accreditation of our online STEM Mentoring Program with the International Mentoring Association,"$2,500.00 ","$2,800.00 ",successful,US,USD,1433343869,1430751869,FALSE,50,TRUE,technology/space exploration,112,56,technology,space exploration,5/4/2015,6/3/2015,2015
2627,Students building a near-space balloon with live video,"A group of high school students are building a near-space balloon, that will capture stunning HD video of the earth from near-space.",$150.00 ,$970.00 ,successful,US,USD,1448571261,1445975661,FALSE,45,TRUE,technology/space exploration,647,21.56,technology,space exploration,10/27/2015,11/26/2015,2015
2628,Pie In Space!,A high school freshman is sending pie into space and you can be a part of it.  GO SCIENCE!!!,$839.00 ,$926.00 ,successful,US,USD,1417389067,1415661067,FALSE,21,TRUE,technology/space exploration,110,44.1,technology,space exploration,11/10/2014,11/30/2014,2014
2629,Project Dragonfly - Sail to the Stars,The first international contest to let students shape the future of interstellar travel.,"$5,000.00 ","$6,387.00 ",successful,GB,GBP,1431608122,1429016122,FALSE,100,TRUE,technology/space exploration,128,63.87,technology,space exploration,4/14/2015,5/14/2015,2015
2630,Asteroid What! - Very Near Earth Asteroids,Free and easy to use information when asteroids pass closer than the Moon. Stretch - take photos of all of these asteroids,"$2,000.00 ","$3,158.00 ",successful,AU,AUD,1467280800,1464921112,FALSE,81,TRUE,technology/space exploration,158,38.99,technology,space exploration,6/3/2016,6/30/2016,2016
2631,Starship Congress 2015: Interstellar Hackathon,Starship Congress 2015 is a deep-space & interstellar science summit staged by Icarus Interstellar.,"$20,000.00 ","$22,933.05 ",successful,US,USD,1440907427,1438488227,FALSE,286,TRUE,technology/space exploration,115,80.19,technology,space exploration,8/2/2015,8/30/2015,2015
2632,University Rocket Science,Students from 3 universities are designing a dual stage rocket to test experimental rocket technology.,"$1,070.00 ","$1,466.00 ",successful,US,USD,1464485339,1462325339,FALSE,42,TRUE,technology/space exploration,137,34.9,technology,space exploration,5/4/2016,5/29/2016,2016
2633,ISS-Above,A device that lights up whenever the International Space Station is nearby (that happens more often than you might expect),"$5,000.00 ","$17,731.00 ",successful,US,USD,1393542000,1390938332,FALSE,199,TRUE,technology/space exploration,355,89.1,technology,space exploration,1/28/2014,2/27/2014,2014
2634,Project Stardust Part 2,After a unsuccessful recovery last time we are trying again to successfully launch and recover a weather balloon from space.,$930.00 ,$986.00 ,successful,US,USD,1475163921,1472571921,FALSE,25,TRUE,technology/space exploration,106,39.44,technology,space exploration,8/30/2016,9/29/2016,2016
2635,Help UTS Students reach the International Space Station!,Help UTS Ontario students raise money to get their experiments on the ISS. Promote space science in Canada! We can't do it without you!,"$11,500.00 ","$11,500.00 ",successful,CA,CAD,1425937761,1422917361,FALSE,84,TRUE,technology/space exploration,100,136.9,technology,space exploration,2/2/2015,3/9/2015,2015
2636,Starduster II - Photographing Earth from Near-Space,Real-time high-altitude weather balloon tracking using amateur radios - capturing stunning near-space visuals - now with more science!,"$1,000.00 ","$1,873.00 ",successful,US,USD,1476579600,1474641914,FALSE,50,TRUE,technology/space exploration,187,37.46,technology,space exploration,9/23/2016,10/16/2016,2016
2637,SPEED OF LIGHT: Biggest Mystery of the Universe,Help us collect the data to solve the mystery of the century: Is light slowing down?,$500.00 ,$831.00 ,successful,US,USD,1476277875,1474895475,FALSE,26,TRUE,technology/space exploration,166,31.96,technology,space exploration,9/26/2016,10/12/2016,2016
2638,Pie In Space! (Round 2),The second round of funding for the most amazing project ever where a high school freshman is sending pie into SPACE!!!,$347.00 ,$353.00 ,successful,US,USD,1421358895,1418766895,FALSE,14,TRUE,technology/space exploration,102,25.21,technology,space exploration,12/16/2014,1/15/2015,2014
2639,Mission Space,"Mission Space is run by me, a teenager who has a passion for space! I will fly a weather balloon to the edge of space with your help.",$300.00 ,$492.00 ,successful,GB,GBP,1424378748,1421786748,FALSE,49,TRUE,technology/space exploration,164,10.04,technology,space exploration,1/20/2015,2/19/2015,2015
2640,Save the Astronomy Van,"Hi,
My Name is David Frey and I Provide Free Public Astronomy programs in San Francisco, Mt. Tamalpias, Yosemite and Novato CA.","$3,000.00 ","$3,170.00 ",successful,US,USD,1433735474,1428551474,FALSE,69,TRUE,technology/space exploration,106,45.94,technology,space exploration,4/9/2015,6/8/2015,2015
2641,Build Flying Saucer Artificial Intelligent from sea shell,Building a Flying saucer that has Artificial Intelligent made from sea shell.,"$1,500.00 ",$15.00 ,failed,US,USD,1410811740,1409341863,FALSE,1,FALSE,technology/space exploration,1,15,technology,space exploration,8/29/2014,9/15/2014,2014
2642,Maschinenbau in ein neues Zeitalter,"Innovatives MAschinenbau projekt mit verarbeitende Metalle vom Mars
Stehe mit Mars one einer holländischen space company in cooperatio","$500,000.00 ",$0.00 ,failed,DE,EUR,1468565820,1465970108,FALSE,0,FALSE,technology/space exploration,0,0,technology,space exploration,6/15/2016,7/15/2016,2016
2643,Project Blue: A Space Telescope to Find Another Earth (Canceled),"A mission to build and launch a telescope to observe and photograph Earth-like planets around our nearest star system, Alpha Centauri.","$1,000,000.00 ","$335,597.31 ",canceled,US,USD,1482307140,1479218315,TRUE,1501,FALSE,technology/space exploration,34,223.58,technology,space exploration,11/15/2016,12/21/2016,2016
2644,Helios - Near Space Launch To Capture The 2017 Solar Eclipse (Canceled),A historic manned launch into near space by 3 brave pilots to capture the 2017 total solar eclipse in virtual reality.,"$100,000.00 ","$2,053.00 ",canceled,US,USD,1489172435,1486580435,TRUE,52,FALSE,technology/space exploration,2,39.48,technology,space exploration,2/8/2017,3/10/2017,2017
2645,Project ThunderStruck - Testing a New Spacecraft Concept,"Phase one of a small winged reentry craft. This phase will be testing the supersonic stability of a small craft traveling at 1,800kph","$20,000.00 ","$2,100.00 ",canceled,AU,AUD,1415481203,1412885603,TRUE,23,FALSE,technology/space exploration,11,91.3,technology,space exploration,10/9/2014,11/8/2014,2014
2646,SpaceVR: Your Ticket to Space (Canceled),We're a small group with a big mission: making it possible for everyone to explore space using the power of virtual reality.,"$500,000.00 ","$42,086.42 ",canceled,US,USD,1441783869,1439191869,TRUE,535,FALSE,technology/space exploration,8,78.67,technology,space exploration,8/10/2015,9/9/2015,2015
2647,"18"", 45.7cm Telescope. The universe is for everyone!","The telescope will serve as a path for the youth of Toronto to the skies, it will be 18"" easily portable meant for schools in the GTA.","$2,500.00 ",$36.00 ,canceled,CA,CAD,1439533019,1436941019,FALSE,3,FALSE,technology/space exploration,1,12,technology,space exploration,7/15/2015,8/14/2015,2015
2648,Calvert HS Planetarium Restoration (Canceled),"Calvert Co 1977 planetarium acquired by Spaceflight America! Education science program star projector needs overhaul, upgrade, repairs!","$12,000.00 ",$106.00 ,canceled,US,USD,1457543360,1454951360,FALSE,6,FALSE,technology/space exploration,1,17.67,technology,space exploration,2/8/2016,3/9/2016,2016
2649,The Mission - Please Check Back Soon (Canceled),They have launched a Kickstarter.,"$125,000.00 ",$124.00 ,canceled,US,USD,1454370941,1449186941,FALSE,3,FALSE,technology/space exploration,0,41.33,technology,space exploration,12/3/2015,2/1/2016,2015
2650,The Observer Project 2016 (Canceled),"A fully stabilized, mobile, research grade telescope/media platform, used to bring outreach astronomy to those who don't have access.","$60,000.00 ",$358.00 ,canceled,US,USD,1482332343,1479740343,FALSE,5,FALSE,technology/space exploration,1,71.6,technology,space exploration,11/21/2016,12/21/2016,2016
2651,FireSat: Near Real-Time Global Wildfire/Oil Spill Detection,"Conceived at NASA JPL, FireSat is a satellite-installed sensor constellation for the near real-time detection of global thermal events.","$280,000.00 ","$5,233.00 ",canceled,US,USD,1450380009,1447960809,FALSE,17,FALSE,technology/space exploration,2,307.82,technology,space exploration,11/19/2015,12/17/2015,2015
2652,Million Dollar Rocket - New Project (Canceled),We're looking to set an Australian Amateur Rocketry record of 100 000 ft. You are invited on this 4500km per hour ride into history,"$100,000.00 ",$885.00 ,canceled,AU,AUD,1418183325,1415591325,FALSE,11,FALSE,technology/space exploration,1,80.45,technology,space exploration,11/10/2014,12/10/2014,2014
2653,Dream Rocket Project (Canceled),"DREAM BIG. Explore the universe through STEAM education. (Science, Technology, Engineering, Art, Mathematics)","$51,000.00 ","$5,876.00 ",canceled,US,USD,1402632000,1399909127,FALSE,70,FALSE,technology/space exploration,12,83.94,technology,space exploration,5/12/2014,6/13/2014,2014
2654,Moon Rocket Projo - Finally know the TRUTH about E.T.,"I want to launch a rocket to the moon, I plan on having this lunar rocket carry a small payload of solar internet connected cameras","$100,000.00 ",$51.00 ,canceled,US,USD,1429622726,1424442326,FALSE,6,FALSE,technology/space exploration,0,8.5,technology,space exploration,2/20/2015,4/21/2015,2015
2655,Balloons (Canceled),Thank you for your support!,"$15,000.00 ","$3,155.00 ",canceled,US,USD,1455048000,1452631647,FALSE,43,FALSE,technology/space exploration,21,73.37,technology,space exploration,1/12/2016,2/9/2016,2016
2656,MoonWatcher: A 24/7 Live Video of the Moon for Everyone (Canceled),MoonWatcher will be bringing the Moon closer to all of us.,"$150,000.00 ","$17,155.00 ",canceled,US,USD,1489345200,1485966688,FALSE,152,FALSE,technology/space exploration,11,112.86,technology,space exploration,2/1/2017,3/12/2017,2017
2657,Propel Citizen Science to the Moon (Canceled),"Miles, a team of citizen scientists is reaching for the moon. We've bootstrapped our way to the top and now we need your help.","$30,000.00 ","$5,621.38 ",canceled,US,USD,1470187800,1467325053,FALSE,59,FALSE,technology/space exploration,19,95.28,technology,space exploration,6/30/2016,8/3/2016,2016
2658,STEM MARS Lander experience: https://youtu.be/n6avxUAKee0,"Funding will allow free participation for 20 schools, grades 4-12, (thousands of students) anywhere in the nation.","$98,000.00 ",$91.00 ,canceled,US,USD,1469913194,1467321194,FALSE,4,FALSE,technology/space exploration,0,22.75,technology,space exploration,6/30/2016,7/30/2016,2016
2659,test (Canceled),test,"$49,000.00 ","$1,333.00 ",canceled,US,USD,1429321210,1426729210,FALSE,10,FALSE,technology/space exploration,3,133.3,technology,space exploration,3/19/2015,4/18/2015,2015
2660,Central Ohio Astronomical Society Mobile Classroom,COAS is an organization that does community outreach programs to encourage and educate children and adults on Astronomy related subject,"$20,000.00 ",$19.00 ,canceled,US,USD,1448388418,1443200818,FALSE,5,FALSE,technology/space exploration,0,3.8,technology,space exploration,9/25/2015,11/24/2015,2015
2661,Summer Camp - A creative space for makers and artists alike.,"Summer Camp is an old gas station that will have workshops, custom art framing, and carry vintage & home goods.","$5,000.00 ","$5,145.00 ",successful,US,USD,1382742010,1380150010,FALSE,60,TRUE,technology/makerspaces,103,85.75,technology,makerspaces,9/25/2013,10/25/2013,2013
2662,"The Mini Maker, a kid focused makerspace","The Mini Maker is Lansing Michigan's new kid friendly makerspace. We're dedicated to help kids imagine, develop and build.","$20,000.00 ","$21,360.00 ",successful,US,USD,1440179713,1437587713,FALSE,80,TRUE,technology/makerspaces,107,267,technology,makerspaces,7/22/2015,8/21/2015,2015
2663,A New Life for an Old School,"The Ville. A local cooperative helping communities learn, share and grow in the spirit of health, wellness and sustainability.","$20,000.00 ","$20,919.25 ",successful,CA,CAD,1441378800,1438873007,FALSE,56,TRUE,technology/makerspaces,105,373.56,technology,makerspaces,8/6/2015,9/4/2015,2015
2664,"HackSchool: Students, Technology, and Empowerment",We believe that the true purpose of education is to enable people to create real things that make the world better. Join us!,"$17,500.00 ","$18,100.00 ",successful,US,USD,1449644340,1446683797,FALSE,104,TRUE,technology/makerspaces,103,174.04,technology,makerspaces,11/5/2015,12/9/2015,2015
2665,Gilman Playground Builds a Tech Center,Giving the best tech access and tools to Bayview Hunters Point youth - developing the next generation of tech savvy youth who excel!,"$3,500.00 ","$4,310.00 ",successful,US,USD,1430774974,1426886974,FALSE,46,TRUE,technology/makerspaces,123,93.7,technology,makerspaces,3/20/2015,5/4/2015,2015
2666,"StartMart - NEW $40,000 Stretch Goal to Match $40,000 Grant","StartMart is a 35,000 sqft entrepreneurial hub and co-working space located on the 2nd floor of the Terminal Tower in Cleveland, Ohio.","$10,000.00 ","$15,929.51 ",successful,US,USD,1443214800,1440008439,FALSE,206,TRUE,technology/makerspaces,159,77.33,technology,makerspaces,8/19/2015,9/25/2015,2015
2667,"Websmith Studio : Think, Build, Break, Play.","Websmith Studio is a makerspace where the people most impacted by broken systems are empowered to think, build, and own the solution.","$1,500.00 ","$1,660.00 ",successful,US,USD,1455142416,1452550416,FALSE,18,TRUE,technology/makerspaces,111,92.22,technology,makerspaces,1/11/2016,2/10/2016,2016
2668,UOttawa Makermobile,"Creativity on the go! |
Créativité en mouvement !","$1,000.00 ","$1,707.00 ",successful,CA,CAD,1447079520,1443449265,FALSE,28,TRUE,technology/makerspaces,171,60.96,technology,makerspaces,9/28/2015,11/9/2015,2015
2669,Oceana High School MAKER club requesting a 3D Printer,The brand new Makers Club wants something to draw the students into science and engineering and also be very inclusive.,$800.00 ,"$1,001.00 ",successful,US,USD,1452387096,1447203096,FALSE,11,TRUE,technology/makerspaces,125,91,technology,makerspaces,11/11/2015,1/10/2016,2015
2670,G-Pod ... the future of sustainable housing,"A revolution in the rapidly growing container housing space. Transportable, expandable, green and versatile. A global game-changer.","$38,888.00 ","$2,495.00 ",failed,AU,AUD,1406593780,1404174580,TRUE,60,FALSE,technology/makerspaces,6,41.58,technology,makerspaces,7/1/2014,7/29/2014,2014
2671,Tunnel Lab - Tech startup accelerator hubs in the favelas,We will build hubs so that teens can use tech to develop business solutions to their communities greatest challenges. Help us!,"$25,000.00 ","$2,836.00 ",failed,US,USD,1419017880,1416419916,TRUE,84,FALSE,technology/makerspaces,11,33.76,technology,makerspaces,11/19/2014,12/19/2014,2014
2672,Open Tools for Science and Science Education,"Manylabs aims to help support 20 new residents working on open, low-cost, accessible tools for science and science education.","$10,000.00 ","$3,319.00 ",failed,US,USD,1451282400,1449436390,TRUE,47,FALSE,technology/makerspaces,33,70.62,technology,makerspaces,12/6/2015,12/28/2015,2015
2673,Help us open a Makerspace for Kids,We're opening up a Pixel Academy in Manhattan and we need your help to fill it with technology and tools for New York City's kids!,"$40,000.00 ","$11,032.00 ",failed,US,USD,1414622700,1412081999,TRUE,66,FALSE,technology/makerspaces,28,167.15,technology,makerspaces,9/30/2014,10/29/2014,2014
2674,Building the Playa Blanca Community Wind Workshop!,"A project to give the people of Playa Blanca an independent, energized future - 
“Local de Mariposas Eólicas Para un Futuro Mejor”","$35,000.00 ","$21,994.00 ",failed,US,USD,1467694740,1465398670,TRUE,171,FALSE,technology/makerspaces,63,128.62,technology,makerspaces,6/8/2016,7/5/2016,2016
2675,Maven Makers: A Makerspace (It's Kinda Like a Gym),"We are working to establish a collaborative work-space with the goal of creating a community of knowledge, design, and creativity.","$25,000.00 ","$1,897.00 ",failed,US,USD,1415655289,1413059689,TRUE,29,FALSE,technology/makerspaces,8,65.41,technology,makerspaces,10/11/2014,11/10/2014,2014
2676,Toronto VR Co-Op,"Our aim is to provide high-end equipment and space for Toronto coders, filmmakers, and artists to develop cutting-edge VR content.","$2,100.00 ","$1,058.00 ",failed,CA,CAD,1463929174,1461337174,FALSE,9,FALSE,technology/makerspaces,50,117.56,technology,makerspaces,4/22/2016,5/22/2016,2016
2677,Tinkr Tech - mobile makerspace,A mobile tech lab with cutting edge maker tools that travels to schools to offer free creative workshops for school age kids.,"$19,500.00 ","$3,415.00 ",failed,US,USD,1404348143,1401756143,FALSE,27,FALSE,technology/makerspaces,18,126.48,technology,makerspaces,6/3/2014,7/3/2014,2014
2678,Wavegarden in Marbella (Málaga),Wavegarden is the world’s longest man-made wave that creates ideal conditions for surfing. Help us and let's open one in Malaga!!,"$8,000,000.00 ","$1,100.00 ",failed,ES,EUR,1443121765,1440529765,FALSE,2,FALSE,technology/makerspaces,0,550,technology,makerspaces,8/25/2015,9/24/2015,2015
2679,DIY Garage,"A do-it-yourself auto garage in Des Moines, Iowa where people can learn how to work on cars & those who know can share their knowledge.","$40,000.00 ",$132.00 ,failed,US,USD,1425081694,1422489694,FALSE,3,FALSE,technology/makerspaces,0,44,technology,makerspaces,1/29/2015,2/28/2015,2015
2680,iHeart Pillow,"iHeartPillow, Connecting loved ones","$32,000.00 ",$276.00 ,failed,ES,EUR,1459915491,1457327091,FALSE,4,FALSE,technology/makerspaces,1,69,technology,makerspaces,3/7/2016,4/6/2016,2016
2681,Jolly's Hot Dogs An All-Beef Coney Dog,"Jolly's Hot Dogs: A beef hot dog topped with deliciously seasoned ground beef, mustard and minced onions.","$8,000.00 ",$55.00 ,failed,US,USD,1405027750,1402867750,FALSE,2,FALSE,food/food trucks,1,27.5,food,food trucks,6/15/2014,7/10/2014,2014
2682,Toastie's Gourmet Toast,"Gourmet Toast is the culinary combination, neigh, perfection of America's most under-utilized snack: Toast.","$6,000.00 ","$1,698.00 ",failed,US,USD,1416635940,1413838540,FALSE,20,FALSE,food/food trucks,28,84.9,food,food trucks,10/20/2014,11/22/2014,2014
2683,Just Cereal - Mobile Cereal Bar,Cereal isn't only for breakfast! Help me bring cereal to the 92% of Americans who eat cereal everyday. Out of the home and to you!,"$15,000.00 ",$36.00 ,failed,US,USD,1425233240,1422641240,FALSE,3,FALSE,food/food trucks,0,12,food,food trucks,1/30/2015,3/1/2015,2015
2684,Ain't No Thang...,Not all wings are created equal. We believe ours take flight above the rest. Come judge for yourself. To us it Ain't No Thang...,"$70,000.00 ",$800.00 ,failed,US,USD,1407621425,1404165425,FALSE,4,FALSE,food/food trucks,1,200,food,food trucks,6/30/2014,8/9/2014,2014
2685,Nana's Home Cooking on Wheels,"Home cooked meals made by Nana. Indiana's famous tenderloin sandwiches, Nana's homemade cole slaw and so much more.","$50,000.00 ",$10.00 ,failed,US,USD,1430149330,1424968930,FALSE,1,FALSE,food/food trucks,0,10,food,food trucks,2/26/2015,4/27/2015,2015
2686,Steaming Cow Pies... Your NEW favorite dessert at the fair,"2 years after a car accident, I was told that I could no longer work... I want to change that AND create something amazing Fair FOOD!","$30,000.00 ",$0.00 ,failed,US,USD,1412119423,1410391423,FALSE,0,FALSE,food/food trucks,0,0,food,food trucks,9/10/2014,9/30/2014,2014
2687,Munch Wagon,"Your American Pizzas, Wings, Stuffed Gouda Burger, Sweet & Russet Potato Fries served on a food Truck!!","$15,000.00 ",$0.00 ,failed,US,USD,1435591318,1432999318,FALSE,0,FALSE,food/food trucks,0,0,food,food trucks,5/30/2015,6/29/2015,2015
2688,Mac N Cheez Food Truck,The amazing gourmet Mac N Cheez Food Truck Campaigne!,"$50,000.00 ",$74.00 ,failed,US,USD,1424746800,1422067870,FALSE,14,FALSE,food/food trucks,0,5.29,food,food trucks,1/24/2015,2/24/2015,2015
